Codigo;Prompt
suit_c;Ultra-realistic photograph of the man in the image (respecting all the details of the features, skin texture...), Rachel Zane and Mike Ross in an intense brainstorming session around a large oak table in the classic Pearson Specter Litt law library, surrounded by imposing bookshelves full of legal volumes, warm hanging lights casting a soft glow on open books and scattered laptops, concentrated and collaborative expressions, highly detailed faces and natural skin details. Mike Ross (late 20s, youthful and intelligent face, short, slightly tousled dark brown hair, bright, idea-filled blue eyes, wearing a casual navy blazer over a light shirt, sleeves rolled up), Rachel Zane (early 30s, beautiful mixed-race features, long dark brown hair in a professional low bun, warm, focused brown eyes, wearing a fitted gray blazer and white blouse), Man in picture (late 40s-early 50s, defined and attractive features, short, side-swept dark brown hair, intense brown eyes scanning documents, trimmed beard, leaning forward in a slim-legged dark gray suit with a white shirt, thin black tie, jacket hanging from the back of the chair), realistic textures of leather-bound books and paper details, subtle coffee steam. Cups, taken with a 50mm lens, f/2.2, intellectual and urgent atmosphere, masterpiece, photorealistic, 8k resolution, ultra sharp.
suit_d;Ultra-realistic photograph of Harvey Specter leading the group, followed by Donna Paulsen, Rachel Zane, and the man in the picture (respecting all features, skin tone, etc.) walking confidently down the elegant marble corridor of the Pearson Specter Litt law firm, a modern, luxurious interior with glass walls and warm recessed lighting in the ceiling. Powerful, professional strides, highly detailed faces, and natural skin tones. Harvey Specter (mid-40s, chiseled features, short, slicked-back dark hair, intense, charismatic brown eyes, wearing a tailored dark navy three-piece suit, crisp white shirt, and powerful red tie), Donna Paulsen (mid-40s, stunning redhead with long, wavy brown hair, playful, knowing green eyes, wearing a fitted black dress with a deep V-neck and high heels), Rachel Zane (early 30s, beautiful mixed-race features, long, loose, wavy dark brown hair, warm brown eyes, and Expressive, wearing an elegant sleeveless burgundy dress and a gold necklace), man in the image (late 40s and early 50s, attractive and sharp face, short dark brown hair styled to the side with a slight professional messiness, intense brown eyes, short trimmed beard, confident expression, wearing a dark gray suit with slender legs, white shirt, and thin black tie), subtle motion blur on the legs, shallow depth of field, shot with a 50mm lens, f/2.0, corporate power atmosphere, masterpiece, photorealistic, 8k resolution, ultra sharp
bb_a;"Produce a breathtakingly detailed, photorealistic dramatic portrait capturing an intense emotional confrontation scene in a dimly lit abandoned warehouse at night, with strong chiaroscuro lighting from a single overhead industrial lamp and blue moonlight filtering through broken windows: the three characters stand close together in a tense triangle formation; dominating the center is Walter White in his Heisenberg persona portrayed by Bryan Cranston, wearing his iconic black pork pie hat and dark jacket, face partially shadowed, expression of cold determination and underlying desperation, one hand slightly outstretched; to his immediate left is Jesse Pinkman portrayed by Aaron Paul, disheveled hair, worn black jacket and hoodie, tears in his eyes, expression of rage, betrayal, and heartbreak, body language showing he's one step away from violence or breakdown; the uploaded reference character is positioned between them or slightly behind, perfectly blended into the dramatic lighting and atmosphere, with realistic emotional expression and pose that complements the high-stakes moment, as if they are a crucial part of this final reckoning; subtle blood splatter and debris on the concrete floor, distant police sirens implied through red and blue light flashes on walls; ultra-sharp focus on faces capturing every micro-expression, sweat, and texture, Bryan Cranston's intense eyes and Aaron Pauls raw vulnerability perfectlu recreated; cinematic wide-shot composition with shallow depth of field, gritty Breaking Bad aesthetic with desaturated colors except for pops of red and blue, inspired by the series finale 'Felina, hyper-realistic skin pores, fabric details, atmospheric dust particles in light beams, shot on 35mm flm grain, emotional masterpiece, 8k resolution, unparalleled drama and tension."
bb_b;"Generate a hyper-realistic, intense action-packed wide-shot cinematic image set in the barren New Mexico desert during the explosive To'hajiilee shootout under harsh afternoon sunlight with dust clouds everywhere: central in the chaos is Walter White portrayed by Bryan Cranston, bald head sweaty, wearing a light jacket, face down on the ground handcuffed with expression of desperate rage and defeat as bullets fly overhead; nearby ducking behind buried money barrels for cover is Jesse Pinkman portrayed by Aaron Paul, disheveled hair and clothes, wide-eyed terror mixed with vindication, holding a qun or peeking out ready to fight; the uploaded reference character is seamlessly integrated into the firefght, positioned dynamically behind cover beside Jesse or near Walter, in dusty casual clothes with realistic dirt and sweat, actively returning fre or shielding with intense survival pose matching the high-stakes betrayal; background shows SUVs riddled with bullet holes, Hank and Gomez in blurred deadly exchange with Jack's neo-Nazi gang, muzzle flashes and flying sand from impacts, vast empty desert horizon; ultra-detailed destruction with bullet casings ejecting, smoke trails, shattered glass, dramatic low-angle composition emphasizing vulnerability and overwhelming odds, Breaking Bad season 5 color grade with teal shadows and orange highlights pushed for tension, shot with shaku cam motion blur for immersion, 8k photorealistic masterpiece of brutal desert ambush and empire collapse."
bb_c;"Generate an ultra-detailed photorealistic image inside the cramped, cluttered interior of the iconic Breaking Bad RV parked in the desert during daytime with harsh sunlight filtering through small windows: the scene shows three characters actively cooking meth; central is Walter White portrayed by Bryan Cranston in early seasons look, wearing a white undershirt, protective apron, respirator mask pulled down, bald head glistening with sweat, focused and determined expression as he monitors the chemical reaction; to his side is Jesse Pinkman portrayed by Aaron Paul, younger look with baggy clothes, yellow gloves, respirator around neck, excited yet anxious expression holding a glass flask; the uploaded reference character is perfectly blended into the scene wearing similar protective gear, actively participating in the cook with natural pose and realistic sweat/lighting match, positioned as an essential third member of the original crew; Interior flled with chemical equipment, beakers bubbling with blue liquid, steam and fumes, scattered barrels and tools, iconic RV details like the worn seats and small kitchenette; bright desert light casting hard shadows, signature blue meth glow reflecting on faces, hyper-realistic details on glassware reflections, condensation, dust particles in light beams, cinematic composition with tight framing to emphasize partnership and danger, Breaking Bad early seasons color palette with earthy tones and vibrant blues, shot with handheld camera feel, 8k masterpiece."
bb_d;"Generate an ultra-detailed, photorealistic image set inside the underground superlab from Breaking Bad, with harsh fluorescent overhead lighting casting cold blue-white qlow and dramatic shadows: the scene features three main characters in full protective yellow hazmat suits with respirators pulled down around their necks, standing around the central stainless steel cooking equipment flled with glowing blue methamphetamine crystals; central figure is Walter White as Heisenberg played by Bryan Cranston, bald, wearing safety goggles on his head, intense prideful expression, arms crossed confdentlu; immediately to his right is Jesse Pinkman played by Aaron Paul, looking exhausted and emotionally drained, goggles pushed up, sweaty hair, expression of reluctant admiration mixed with moral conflict; the uploaded reference character is positioned to Walter's left, perfectly integrated with matching hazmat suit style, realistic lighting and shadows on the suit and face, natural stance as an equal member of the cooking team, interacting subtly with the equipment; all three are in sharp focus with intricate details on the suits' textures, condensation on metal surfaces, glowing blue meth in glassware creating ethereal light reflections on their faces; background shows rows of chemical tanks, pipes, and the industrial laundry facility entrance visible in the distance; cinematic composition with low angle shot to emphasize powver and danger, Breaking Bad signature color palette dominated bu yellows, blues, and metallic grays, hyper-realistic details on sweat, glass reflections, and steam, photographed with Panavision anamorphic Lens, moody atmosphere of genius and corruption, 8k, masterpiece level detail and realism."
ph_a;"Face unchanged from the uploaded image: Creates an ultra-realistic 8K HDR cinematic portrait of the same man, preserving 100% of his facial identity, including eyes, nose, lips, skin tone, age, hairstyle, ear shape, jawline, and all facial details without alteration. Man with the same voluminous hairstyle, defined youthful features, and clean appearance. Facial pose: Looking slightly down at the camera he is holding, with a calm and focused expression, deep in concentration; mood: Soft, melancholic, and introspective, like a modern creator working late into the night. Attire: Black leather jacket with realistic texture and creases on the sleeves; gray hoodie underneath with soft, natural wrinkles; wristwatch with a simple round face; Canon camera strap around the neck with transparent red and white lettering. Close-up: Hands holding a Canon DSLR camera adjusting settings; detailed lens reflections and matte black body texture. Pose: Seated or leaning forward, elbows bent, both hands on the camera. Setting: Interior room with futuristic, cool blue lighting. The ceiling features a geometric LED light pattern glowing neon blue; the background is softly blurred with interior elements such as a wall frame, a sofa, and subtle decor. Quality: Ultra-realistic 8K hyper-HDR texture. Defined strands of hair, leather grain, hoodie fibers, and skin details. Lighting: Dominant cool blue neon light casting soft, cinematic shadows, highlighting the contours of the face and jacket. Atmosphere: Cold, modern, and cyber-aesthetic. "
ph_b;"Face unchanged from the uploaded image. Create an ultra-realistic and hyper-ultra-realistic 8K HDR cinematic portrait of the same man, preserving 100% identical facial features, skin tone, age, eyes, nose, lips, jaw, ears, hairstyle, and overall identity, without any alterations. Man with the same long braids, the same facial structure and expression; looking directly at the camera with a focused, intense, and confident cinematic tone, like a filmmaker preparing for a shot. Attire: Oversized white sweatshirt with soft, realistic creases, distressed and ripped jeans with a rough texture, black cap with the same embroidered text. Foreground equipment: Professional DSLR camera mounted on a sturdy tripod directly in front of him, large lens facing the viewer with sharp, bright metallic highlights. Pose: Seated on a studio bench or low chair, leaning slightly forward with his hands near his knees, positioned directly behind the camera on the tripod. Environment: Professional cinematic video studio with atmospheric smoke. Background: Two large softbox lights behind him: the left, bright cyan; the right, warm orange/red, creating dramatic two-tone edge lighting. Floor: Dark studio floor with subtle reflections from the colored lights. Quality: Ultra-realistic 8K hyper-HDR with details that show the texture of the hoodie, skin pores, lens flares, and the depth of the smoke. Lighting: Intense cyan edge light from the left and intense orange edge light from the right for stark contrast. Atmosphere: Thick cinematic fog that blends both colors, enhancing depth and ambiance. Setting: Bold and dramatic promotional portrait of a high-end filmmaker."
ph_c;Face unchanged from the uploaded image: Generate a hyper-ultra-realistic 8K HDR portrait of the same man with 100% identical facial features, age, skin tone, eye color, beard shape, hair texture, lips, jaw, nose, ears, and overall identity, without alterations. The man is holding a professional DSLR camera close to his face, one hand on the grip and the other adjusting the lens. He is wearing a fitted black long-sleeved shirt and a geometric silver ring on his finger. The scene takes place outdoors in a dimly lit urban alley, with soft bokeh lights in the background. The dramatic lighting includes a subtle red edge light illuminating one side of the face and shoulders, with soft diffused main lighting on the other side for a cinematic portrait look. The background is blurred with deep shadows and warm highlights that add depth. The overall style is modern, elegant, melancholic, and ultra-realistic: 8K HDR clarity with sharp details on skin, fabric, and lens reflections.
ph_d;Use the face 100% above the uploaded photo. A bold rooftop portrait, captured in the intense orange-red light of sunset. The man wears a rust-red Burberry trench coat, black sweatpants with subtle red stitching, and white and red Jordan 1 sneakers. His Canon EOS R5 with an 85mm f/1.2 lens rests in his right hand, the strap casually wrapped around his wrist. The sunset sky blurs onto the metallic roof, reflecting the warm tones of his jacket. 8K quality, FHD, high-quality Sony 85mm lens.
car_a;"Ultra-realistic 8K cinematic portrait of the young man in the photo ""without any facial modification"" as a Pokémon Trainer, centered and posing confidently, smiling very ""very subtly"" naturally. Surrounding the user are friendly Pokémon: Pikachu, Bulbasaur, Charmander, and Squirtle, interacting in playful and dynamic ways, some leaning towards the user. The background is a vibrant, sunlit training ground, featuring soft shadows, cinematic lighting, and a spectacular sunset sky with warm orange and pink hues. In the sky, Legendary Pokémon soar majestically, illuminated by the golden sunlight, appearing larger and more prominent for an epic effect. Lifelike Pokémon fur, clothing, and textures, HDR lighting, sharp details, natural yet vivid colors, realistic lens flares, wide-angle perspective, shallow depth of field, and subtle motion blur for dynamic energy. Framed composition like a heroic game poster, capturing a joyful atmosphere, Adventurous and epic Pokémon trainer."""
car_b;"Preserve the identity, face, and physical characteristics of the original person with high similarity. Do not alter the face; keep the face exactly as in the original photo. A female gangster character in the art style of the video game Grand Theft Auto V (GTA V), with a face identical to the one in the photo provided. She is wearing black leather pants and a sexy floral bikini top and Nike Blazer Brown Hi sneakers. The character is casually leaning against a shiny lowrider with chrome wheels, with one leg crossed over the other. Her expression is serious and confident, exuding a gangster attitude. The background features a vibrant urban sunset with palm trees silhouetted against an orange and purple sky. The GTA V logo is subtly visible somewhere in the image. The lighting is dramatic and colorful, characteristic of a cinematic game environment. The image should be hyper-detailed, ultra HD, with realistic reflections on the car and urban surfaces, capturing the authentic street style of Los Santos. Style: Video game art (GTA V), stylized illustration, game character realism. Lighting: Urban sunset, dramatic, colorful, neo-noir. Details: Hyper-detailed, Ultra HD, realistic reflections, fabric texture, and chrome. Composition: Full-body or half-body character, urban background."
car_c;Generate a hand-drawn portrait illustration in red and yellow pen on notebook paper, inspired by doodle art and comic annotations. Keep full likeness of the subject, expressive lines, spontaneous gestures, bold outline glow, handwritten notes around, realistic pen stroke texture, 4K resolution
car_d;Ultra-realistic full-body portrait of the attached image. The person is interacting with Son Goku in a front-facing pose, both standing side by side, smiling directly at the camera. Their body language is friendly and natural — Goku’s arm rests around the person’s shoulder, while both share a joyful, confident expression.
car_e;Ultra-realistic cinematic scene of a reference image peeking from behind a slightly open old blue wooden door, surprised and happy expression, pointing inside the room. Soft dramatic lighting, shallow depth of field, high detail skin texture, natural facial features. Around the door, multiple famous cartoon-style characters standing together in a semi-realistic 3D style, expressive faces, vibrant colors, smooth textures, Pixar-quality rendering. Characters appear as friendly animated figures, perfectly blended with the real environment. Moody indoor lighting, dark background, cinematic shadows, ultra-sharp focus, photorealistic composition, 8K quality, realistic proportions, professional studio photography look.
jhonw_a;Produce an extensively detailed, immersive image drawing from the visceral hotel battle in John Wick Chapter 4 at the Osaka Continental, set in a lavish neon-lit hallway during midnight, with traditional Japanese architecture blended with modern luxury—tatami mats stained with blood, sliding shoji screens riddled with bullet holes, cherry blossom motifs on walls illuminated by vibrant red and blue neon signs from outside windows overlooking a rainy cityscape. In the epicenter of the frame, Keanu Reeves as the legendary Baba Yaga John Wick, with his intense gaze and bloodied features, clad in a slim-fit black suit torn at the sleeves, dual-wielding nunchaku and a suppressed pistol, spinning to strike a group of armored yakuza enforcers while bullets whiz past him. Partnered seamlessly in the fray is the companion character from the uploaded photo—illustrate this character faithfully to the image (strong posture, unique facial traits, clothing style adapted to tactical gear), positioned back-to-back with Wick, wielding a bo staff and throwing shurikens at incoming foes, their expression fierce and resolute amid the carnage. The scene teems with high-action elements: fallen bodies slumped against walls, katanas clashing in the background, glass vases shattering from stray shots, smoke from grenades filling the air, reflections on polished marble floors showing the ongoing melee, with a massive chandelier swinging precariously overhead. Utilize hyper-realistic digital art with meticulous attention to fabric textures, metallic weapon gleams, dynamic lighting from muzzle flashes and neon glows, a balanced composition using rule of thirds to highlight the duo's synergy, a palette of dark shadows contrasted by vivid reds and golds, in 8K resolution, capturing the essence of unstoppably vengeful warriors in a world of shadows and honor.
jhonw_b;It produces a warm yet tense, textless, theatrical poster image that echoes the subdued alliance scenes of John Wick Chapter 3, set in a dimly lit underground hideout reminiscent of the Bowery King's domain. The flickering light from a barrel fire casts dancing shadows across the brick walls adorned with faded maps and blurred gun racks, while scattered gold coins and old books on a wooden table add to the clandestine feel. Centered, facing each other in worn chairs around the fire in a moment of quiet strategic discussion, is Keanu Reeves as the legendary John Wick, his intense gaze fixed straight ahead, his hair slightly disheveled, small scars visible, wearing a simple black shirt with rolled-up sleeves, elbows resting on his knees, leaning thoughtfully, a glass of water nearby. Facing him, reflecting the serious dialogue with grave and supportive demeanor, is the figure in the uploaded photo, faithfully depicted with his shaved head, thick beard, robust features, and direct eye contact. Dressed in dark, rugged clothing with a vest, his hands clasped as he speaks, he exudes reliability and shared purpose. The scene radiates a quiet intensity and a forged brotherhood, with a warm, fiery glow contrasting with cool shadows. There is no apparent action, only subtle embers floating in the air. Hyperrealistic digital art is used, employing intricate plays of flame and shadow, rich textural details in the skin, beard hairs, and fabric, a balanced palette of fiery oranges against dark and black tones, and ultra-high 8K resolution. It conveys themes of exile, planning, and unbreakable bonds in the shadows of the High Table, purely visual, without text or overlays.
jhonw_c;Produce an extensively elaborate image inspired by the desert pursuit sequences in John Wick Chapter 4, unfolding in the vast Moroccan Sahara at dusk, with endless golden sand dunes undulating under a fiery orange sky streaked with purple clouds, wind whipping up dust devils and scattering camel tracks, distant rocky outcrops silhouetted against the setting sun. Dominating the foreground, Keanu Reeves as the legendary John Wick, the Baba Yaga on horseback, his expression fierce and unyielding with sand-gritted features and windswept hair, clad in a dusty black keffiyeh-wrapped suit, galloping at full speed while twisting to fire a rifle backward at pursuers, reins gripped tightly in one hand. Riding in tandem on a parallel steed is the companion character from the uploaded photo—render with exact likeness from the image (robust frame, focused gaze, specific hair and clothing adapted to desert nomad style), equipped with a scoped carbine and a curved dagger, leaning low to evade incoming fire while hurling a smoke grenade to obscure their trail. The high-stakes action encompasses: a convoy of armored jeeps and motorcycles kicking up sand plumes in hot pursuit, led by blind bounty hunter Caine's allies, one jeep overturning in a dramatic roll, tracer rounds arcing through the air, abandoned Bedouin tents flapping in the background, vultures circling overhead, and mirage-like heat shimmers distorting the horizon. Utilize photorealistic artistry with fine sand particle effects, volumetric lighting from the low sun creating elongated shadows, motion blur on speeding elements for velocity, a earthy color scheme of warm tans, burnt siennas, and stark weapon blacks, in ultra-detailed 8K, encapsulating the raw endurance and mythical pursuit in a lawless expanse.
jhonw_d;"Parabellum, composed in portrait format, captures the imposing lobby of New York's Continental Hotel, besieged by night, with shattered chandeliers casting jagged shadows, bullet-riddled marble columns, and Continental gold coins scattered across the blood-stained floor, while rain pounds against the enormous windows reflecting the city's neon lights. At the center of the composition, in a heroic group formation, Keanu Reeves, as John Wick, stands with a fierce, battle-worn expression, his long hair dripping with sweat, fresh scars and bruises marking his face, wearing a ripped black suit with an open shirt revealing a bloodied chest and pistols pointed outward. To his left, radiating equal presence, is the man in the uploaded photo, rendered with meticulous precision: piercing eyes with a hardened gleam, broad shoulders, dressed in a dark leather trench coat over tactical gear, gripping a shotgun in one hand and a knife in the other. Surrounding them in a protective arc: Sophia (Halle Berry) crouching with her two Belgian Malinois dogs growling ferociously, the Bowery King (Laurence Fishburne) with a theatrical smile and bandaged wounds, Charon wielding a rifle with serene precision, and Zero (Mark Dacascos) as a conflicted enemy halting mid-attack with his katana raised; all expressions combine exhaustion, loyalty, and defiance. The background hints at the intrusion of the High Table's enforcers in a blurred motion, flashes illuminating the chaos. It employs a photorealistic style with volumetric rain and smoke effects, intense chiaroscuro lighting that blends warm golds and cool neon blues, a harsh palette of blacks, blood reds, and metallic grays, and ultra-detailed 8K textures in the dogs' fur, facial scars, beard hairs, and broken glass, conveying the despair of an excommunicated person and the united resistance, without text or graphic overlays."
